subject, predicate, object
Len's Tape, provoc:belongsToBrand, BASF
Len's Tape, aes:physicalDataType, BASF metal reel
Len's Tape, rico:phisicallCharacteristics;"10"""
Len's Tape, rico:physicalCharacteristics, 7  1/2 ips
Len's Tape, rico:Identifier, SK 1056B3257
Len's Tape, rico:physicalCharacteristics, White/White
Len's Tape, rico:physicalCharacteristics, Angled
Len's Tape, rico:physicalCharacteristics, full track
Len's Tape, dc:creator, The Beatles
Len's Tape, dcterms:description, Red BASF Tape box..
